KEY FIGURES FOR WEEK ENDING,This week
KEY FIGURES FOR WEEK ENDING,342
Cows in milk,342
Average kg MS/cow/day,1.55
kg MS/ha/day,3.77
kg MS/cow YTD,280
kg MS/ha YTD,730
Average pasture cover (kg DM/ha),2430
Average growth rates (kg DM/ha/day),86
Round length (whole farm/grass area),31/27
Soil temperature (average oC @ 100mm depth),24.2
Soil moisture deficit (0-300mm depth),2.1
kg DM pasture offered dry cows/milkers,D-0/M-18
kg DM silage/hay fed-average all cows,0
kg DM PKE fed- average all cows,0
kg DM crop fed- average all cows,3.5
YTD supplement used (kg DM/cow),505
kg N applied/ha YTD,67
FEI grade result,4.1
Excellence Quality,82%
Protein : Fat ratio,0.8
SCC,131